Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Yr
Zaid Abdul-Aziz,C,28,HOU,6,68,11.2,0.392,,0.161,11.6,16.7,14.1,6.1,0.7,2.4,,,0,0,0,-0.025,-2.1,-2.2,-4.3,0,1975
Rick Adelman,PG,28,KCO,6,34,8.4,0.479,,0.889,3.2,3,3.1,13.7,1.4,0,,,0,0,0,-0.032,-6.6,-1.1,-7.7,0,1975
Tiny Archibald*,PG,26,KCO,6,242,13.3,0.442,,0.364,0.9,3.8,2.4,23.8,0.8,0,,,-0.2,0,-0.1,-0.028,-0.7,-3.2,-3.9,-0.1,1975
Jim Ard,C,26,BOS,5,14,-6.2,0.125,,0,14,0,7.6,8.4,0,4,,,-0.1,0,-0.1,-0.413,-17.3,-4.6,-21.8,-0.1,1975
Gus Bailey,SG,23,HOU,8,116,16.6,0.557,,0.278,5.8,12.7,9.2,18.5,2.4,0.9,,,0.2,0,0.3,0.11,1.9,1.7,3.5,0.2,1975
Jim Barnett,SG,30,NYK,3,59,20.7,0.668,,0.238,9.7,5.3,7.4,16.2,0.8,0.9,,,0.3,0,0.2,0.18,3.3,-0.4,3,0.1,1975
Rick Barry*,SF,30,GSW,17,726,22.5,0.505,,0.258,3,10.3,6.6,23.8,3.2,1.2,,,1.8,1.3,3.1,0.204,6.3,0.7,6.9,1.6,1975
Butch Beard,PG,27,GSW,17,448,12.5,0.455,,0.363,5.1,11.4,8.2,16.4,2.5,0.3,,,0,0.7,0.7,0.077,-0.7,0,-0.7,0.1,1975
Ron Behagen,PF,24,KCO,6,108,12.9,0.53,,0.07,4,23.6,14.2,10.5,0.5,1,,,0,0.1,0.1,0.063,-3.6,0.3,-3.3,0,1975
Dennis Bell,SF,23,NYK,3,27,-9.3,0.098,,0.625,0,15.5,8.1,0,0,0,,,-0.3,0,-0.3,-0.475,-18.3,-5.5,-23.8,-0.1,1975
Leon Benbow,SG,24,CHI,2,5,40.9,0.512,,0.5,20.5,0,10.4,100,0,0,,,0,0,0,0.293,16.8,-0.9,15.9,0,1975
Dave Bing*,PG,31,DET,3,134,13.9,0.455,,0.277,2.6,5.9,4.4,31,1.8,0,,,0,0.1,0.1,0.021,-2.2,-1.3,-3.5,-0.1,1975
John Block,PF,30,CHI,4,34,11.6,0.398,,0.2,6,12.4,9.2,0,5.8,0,,,-0.1,0.1,0,0.046,-2.9,1.2,-1.7,0,1975
Tom Boerwinkle,C,29,CHI,13,377,17.7,0.486,,0.255,15.2,30.4,22.7,22.6,0.5,1.5,,,0.4,0.7,1.1,0.144,2.5,0.7,3.2,0.5,1975
Steve Bracey,SG,24,GSW,4,14,32.2,0.571,,0.571,0,7.4,3.6,33.4,10,0,,,0.1,0,0.1,0.341,7.8,9.1,16.9,0.1,1975
Bill Bradley*,SF,31,NYK,3,88,7.5,0.402,,0.083,5.2,5.9,5.6,10.6,1.1,0,,,0,0,-0.1,-0.046,-3.8,-1.5,-5.3,-0.1,1975
Bill Bridges,PF,35,GSW,14,148,9.8,0.422,,0.304,8.7,25.3,16.8,6,2.8,1.6,,,0,0.3,0.3,0.1,-0.7,1.3,0.6,0.1,1975
Fred Brown,SG,26,SEA,8,240,22.5,0.539,,0.23,5.3,10.2,7.8,17.5,3.2,0.2,,,0.6,0.2,0.8,0.166,3.6,1,4.5,0.4,1975
Tom Burleson,C,22,SEA,9,364,18.1,0.548,,0.263,8.7,18.5,13.7,5.7,0.9,2.6,,,0.7,0.3,1.1,0.141,1.7,-0.7,1,0.3,1975
Don Chaney,SG,28,BOS,11,294,14,0.505,,0.276,8,5.5,6.8,9.5,3.3,0.9,,,0.5,0.2,0.7,0.11,0.3,1.6,1.9,0.3,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,1975
Ken Charles,SG,23,BUF,7,208,7.4,0.434,,0.2,1.5,5.3,3.3,11.4,1.3,1.3,,,-0.1,0,-0.1,-0.014,-2.8,0,-2.8,0,1975
Phil Chenier,SG,24,WSB,17,692,18.3,0.542,,0.345,2.8,8.1,5.6,12.4,1.5,0.8,,,1.5,0.7,2.2,0.154,3.4,-0.5,2.9,0.9,1975
Archie Clark,PG,33,SEA,9,269,12.1,0.486,,0.213,2.7,9.5,6.2,16.9,1,0.2,,,0.2,0.1,0.3,0.046,-2,-1.1,-3.1,-0.1,1975
Dave Cowens*,C,26,BOS,11,479,16.9,0.455,,0.11,10,31.7,20,13.6,1.7,0.7,,,0.6,0.5,1,0.103,1.5,0.4,2,0.5,1975
Mike D'Antoni,SG,23,KCO,4,42,17.2,0.571,,0.286,5.2,12.2,8.8,4.2,4.7,1.3,,,0.1,0.1,0.1,0.147,-0.5,5.3,4.8,0.1,1975
Jesse Dark,SG,23,NYK,2,11,13.9,0.427,,0.833,10.4,0,5,13.9,0,0,,,0,0,0,-0.123,-6.1,-5.9,-11.9,0,1975
Jim Davis,C,33,DET,2,16,17.1,0.565,,1.25,14.4,12.4,13.3,0,3,0,,,0,0,0.1,0.164,0.3,-1.4,-1.1,0,1975
Mel Davis,PF,24,NYK,3,28,11.3,0.466,,0.167,0,14.9,7.8,12.7,0,0,,,0,0,0,-0.025,-2.8,-1.7,-4.5,0,1975
Rod Derline,SG,22,SEA,6,64,21.6,0.582,,0.212,1.7,19.1,10.5,19.7,1.4,0,,,0.2,0.1,0.2,0.164,2.3,0.5,2.8,0.1,1975
Derrek Dickey,PF,23,GSW,15,257,15.8,0.606,,0.205,7.7,21.5,14.4,6.4,1.5,0,,,0.6,0.4,1,0.184,3.2,-0.8,2.4,0.3,1975
Charles Dudley,PG,24,GSW,13,112,12.7,0.496,,1.167,4.4,11.2,7.7,19.8,2.1,1,,,0,0.2,0.1,0.062,-1.6,0.2,-1.3,0,1975
Dennis DuVal,PG,22,WSB,5,14,11.9,0.354,,0.222,0,20.6,10.9,33.4,0,0,,,-0.1,0,0,-0.13,-3.7,-3.3,-7,0,1975
Hank Finkel,C,32,BOS,7,25,14.8,0.489,,0.714,11.8,13.8,12.7,20,0,0,,,0,0,0,0.083,2.1,-0.6,1.5,0,1975
Chris Ford,SG,26,DET,3,82,8.2,0.545,,0,2.8,13.3,8.5,15.8,0.6,0,,,0,0,0.1,0.047,-3.7,0,-3.7,0,1975
Jim Fox,C,31,SEA,8,40,6.7,0.351,,0.5,10.6,12.7,11.7,6.8,0,1.3,,,-0.1,0,-0.1,-0.1,-5.8,-3.1,-9,-0.1,1975
Walt Frazier*,PG,29,NYK,3,124,27.3,0.669,,0.348,2.8,14.3,8.8,33.3,4.3,0,,,0.6,0.1,0.6,0.251,5.1,4,9.1,0.3,1975
Rowland Garrett,SF,24,CHI,12,143,7.3,0.381,,0.071,5.7,15.4,10.5,3.4,1.4,1.6,,,-0.3,0.2,0,-0.011,-5,-0.6,-5.5,-0.1,1975
John Gianelli,C,24,NYK,3,93,8.9,0.494,,0.125,6.1,10.1,8.2,3.4,0,2.3,,,0,0,0,-0.009,-3.7,-1.3,-5,-0.1,1975
Dick Gibbs,SF,26,WSB,6,17,14.3,0.368,,0.2,0,5.7,3,17.3,8.1,0,,,-0.1,0,0,-0.026,-2.4,3.9,1.4,0,1975
Leonard Gray,PF,23,SEA,9,263,12.1,0.519,,0.163,4.4,13.2,8.9,11.1,2.1,1,,,0.1,0.2,0.4,0.065,-2.1,0.7,-1.4,0,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,1975
Matt Guokas,SG,30,CHI,13,202,5.3,0.402,,0.229,2,5.2,3.6,7.8,1.7,0.3,,,-0.1,0.2,0.1,0.033,-3.2,0.6,-2.6,0,1975
Phil Hankinson,SF,23,BOS,2,3,22.4,0.333,,0,65.3,0,35.3,0,0,0,,,0,0,0,0.113,9.5,-11.9,-2.4,0,1975
Clem Haskins,SG,31,WSB,13,75,12.7,0.555,,0.286,7.2,2.6,4.8,8.1,1.2,0.7,,,0.1,0.1,0.1,0.089,-0.9,-0.5,-1.4,0,1975
John Havlicek*,SF,34,BOS,11,464,15.7,0.515,,0.396,3.8,9.7,6.5,14.9,1.6,0.1,,,1.1,0.1,1.2,0.124,1.5,-0.1,1.4,0.4,1975
