Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Yr
Kareem Abdul-Jabbar*,C,32,LAL,15,618,27.9,.611,.000,.303,9.0,22.2,15.7,12.3,1.3,5.3,12.3,28.5,,2.2,1.0,3.3,.253,,7.4,1.5,8.9,1.7,1980
Alvan Adams,C,25,PHO,8,251,21.9,.601,.000,.192,7.9,25.5,16.8,26.4,1.3,2.2,18.3,21.6,,0.5,0.3,0.8,.157,,4.2,2.1,6.2,0.5,1980
Tiny Archibald*,PG,31,BOS,9,332,13.2,.595,.022,.472,1.0,2.8,1.9,29.5,1.5,0.0,26.1,18.6,,0.4,0.4,0.7,.105,,1.9,-1.8,0.1,0.2,1980
James Bailey,PF,22,SEA,12,138,14.1,.521,.000,.455,6.3,13.7,9.9,5.3,3.2,3.7,14.6,18.4,,0.1,0.2,0.3,.113,,-1.1,2.3,1.2,0.1,1980
Greg Ballard,SF,25,WSB,2,73,3.4,.354,.000,.250,2.9,18.1,10.3,13.3,0.7,0.8,20.5,21.9,,-0.3,0.0,-0.3,-0.170,,-7.2,-1.8,-9.0,-0.1,1980
Rick Barry*,SF,35,HOU,6,79,8.3,.463,.364,.182,0.0,8.8,4.4,26.9,0.6,0.7,21.9,24.2,,-0.1,0.0,-0.1,-0.067,,-2.9,-1.2,-4.1,0.0,1980
Tim Bassett,PF,28,SAS,3,19,-4.4,.500,.000,.000,5.5,0.0,2.9,0.0,0.0,0.0,33.3,6.7,,0.0,0.0,0.0,-0.095,,-13.0,-2.3,-15.2,-0.1,1980
Billy Ray Bates,SG,23,POR,3,104,21.8,.576,.119,.237,2.1,9.0,5.5,21.1,2.5,0.6,18.7,33.1,,0.2,0.1,0.2,.105,,3.3,0.8,4.1,0.2,1980
Ron Behagen,PF,29,WSB,2,14,1.8,.286,.000,.000,7.5,7.9,7.7,30.6,0.0,0.0,12.5,23.4,,0.0,0.0,-0.1,-0.174,,-8.3,-1.0,-9.4,0.0,1980
Henry Bibby,PG,30,PHI,18,400,9.2,.462,.105,.403,4.3,7.6,6.0,18.2,0.8,0.0,15.6,18.3,,0.0,0.3,0.3,.034,,-0.8,-2.4,-3.2,-0.1,1980
Larry Bird*,PF,23,BOS,9,372,18.3,.511,.085,.141,6.7,24.5,15.5,17.7,1.9,1.3,14.9,25.2,,0.3,0.8,1.1,.136,,3.5,0.9,4.3,0.6,1980
Otis Birdsong,SG,24,KCK,3,112,19.0,.484,.048,.226,9.9,12.3,11.0,10.4,1.8,0.0,8.1,27.3,,0.1,0.1,0.2,.086,,2.7,-0.5,2.2,0.1,1980
Alonzo Bradley,SF,26,HOU,4,15,42.2,.714,.111,.556,7.7,15.4,11.5,14.6,3.3,0.0,0.0,31.3,,0.1,0.0,0.1,.411,,15.0,5.5,20.5,0.1,1980
Mike Bratz,PG,24,PHO,8,169,18.1,.588,.274,.119,3.9,9.0,6.5,14.3,2.5,0.0,12.8,24.7,,0.3,0.1,0.4,.105,,2.2,-0.2,2.0,0.2,1980
Jim Brewer,PF,28,POR,3,67,22.8,.928,.000,.300,9.9,17.5,13.6,6.4,3.8,1.7,8.1,7.9,,0.3,0.1,0.4,.265,,5.5,4.3,9.8,0.2,1980
Ron Brewer,SG,24,POR,3,106,11.5,.439,.049,.148,1.0,2.2,1.6,9.4,1.4,0.5,9.7,29.1,,-0.1,0.0,-0.1,-0.035,,-2.3,-1.7,-4.0,-0.1,1980
Junior Bridgeman,SF,26,MIL,5,124,8.6,.407,.018,.268,3.7,13.4,8.6,20.8,2.0,0.9,18.3,25.9,,-0.3,0.2,-0.1,-0.039,,-3.0,-0.7,-3.7,-0.1,1980
Fred Brown,SG,31,SEA,15,313,14.8,.492,.187,.115,5.5,7.8,6.6,17.7,0.3,0.2,10.7,28.1,,0.3,0.2,0.5,.072,,2.8,-2.7,0.0,0.2,1980
John Brown,SF,28,ATL,5,58,0.6,.360,.077,.154,3.6,16.3,9.6,2.5,0.9,1.1,26.5,14.0,,-0.2,0.0,-0.1,-0.103,,-7.2,-1.1,-8.3,-0.1,1980
Quinn Buckner,PG,25,MIL,7,165,9.8,.372,.019,.208,4.2,6.7,5.5,26.4,4.5,0.0,18.4,18.0,,-0.2,0.3,0.1,.015,,-2.1,1.9,-0.3,0.1,1980
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
Don Buse,PG,29,PHO,8,236,11.2,.494,.203,.172,3.7,6.0,4.9,23.3,1.2,0.0,15.9,14.3,,0.2,0.0,0.2,.041,,0.3,-1.2,-1.0,0.1,1980
Marty Byrnes,SF,23,LAL,4,8,19.5,.532,.000,2.000,13.6,0.0,6.7,15.6,0.0,0.0,15.1,32.7,,0.0,0.0,0.0,.141,,5.5,-4.5,1.1,0.0,1980
