Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Zaid Abdul-Aziz,C,28,HOU,6,,11.3,2.0,5.2,.387,,,,2.0,5.2,.387,.387,0.3,0.8,.400,1.2,1.7,2.8,0.5,0.2,0.5,,0.8,4.3,1975
Rick Adelman,PG,28,KCO,6,,5.7,0.5,1.5,.333,,,,0.5,1.5,.333,.333,1.0,1.3,.750,0.2,0.2,0.3,0.5,0.2,0.0,,1.5,2.0,1975
Tiny Archibald*,PG,26,KCO,6,,40.3,7.2,19.7,.364,,,,7.2,19.7,.364,.364,5.8,7.2,.814,0.3,1.5,1.8,5.3,0.7,0.0,,3.0,20.2,1975
Jim Ard,C,26,BOS,5,,2.8,0.2,1.6,.125,,,,0.2,1.6,.125,.125,0.0,0.0,,0.4,0.0,0.4,0.2,0.0,0.2,,1.0,0.4,1975
Gus Bailey,SG,23,HOU,8,,14.5,2.3,4.5,.500,,,,2.3,4.5,.500,.500,1.1,1.3,.900,0.8,1.6,2.4,2.0,0.8,0.3,,1.5,5.6,1975
Jim Barnett,SG,30,NYK,3,,19.7,4.3,7.0,.619,,,,4.3,7.0,.619,.619,1.7,1.7,1.000,1.7,1.0,2.7,1.7,0.3,0.3,,2.0,10.3,1975
Rick Barry*,SF,30,GSW,17,,42.7,11.1,25.1,.444,,,,11.1,25.1,.444,.444,5.9,6.5,.918,1.3,4.2,5.5,6.1,2.9,0.9,,3.0,28.2,1975
Butch Beard,PG,27,GSW,17,,26.4,3.5,8.6,.411,,,,3.5,8.6,.411,.411,2.0,3.1,.642,1.4,2.9,4.2,3.1,1.4,0.1,,3.8,9.1,1975
Ron Behagen,PF,24,KCO,6,,18.0,3.7,7.2,.512,,,,3.7,7.2,.512,.512,0.5,0.5,1.000,0.7,4.2,4.8,1.0,0.2,0.3,,4.7,7.8,1975
Dennis Bell,SF,23,NYK,3,,9.0,0.3,2.7,.125,,,,0.3,2.7,.125,.125,0.0,1.7,.000,0.0,1.3,1.3,0.0,0.0,0.0,,2.0,0.7,1975
Leon Benbow,SG,24,CHI,2,,2.5,1.0,2.0,.500,,,,1.0,2.0,.500,.500,0.5,1.0,.500,0.5,0.0,0.5,1.0,0.0,0.0,,0.0,2.5,1975
Dave Bing*,PG,31,DET,3,,44.7,6.7,15.7,.426,,,,6.7,15.7,.426,.426,2.7,4.3,.615,1.0,2.7,3.7,9.7,1.7,0.0,,4.0,16.0,1975
John Block,PF,30,CHI,4,,8.5,1.5,3.8,.400,,,,1.5,3.8,.400,.400,0.3,0.8,.333,0.5,1.0,1.5,0.0,1.0,0.0,,1.3,3.3,1975
Tom Boerwinkle,C,29,CHI,13,,29.0,3.3,7.5,.439,,,,3.3,7.5,.439,.439,1.5,1.9,.800,4.3,8.4,12.7,4.2,0.3,0.8,,3.7,8.2,1975
Steve Bracey,SG,24,GSW,4,,3.5,0.8,1.8,.429,,,,0.8,1.8,.429,.429,1.0,1.0,1.000,0.0,0.3,0.3,0.8,0.8,0.0,,0.3,2.5,1975
Bill Bradley*,SF,31,NYK,3,,29.3,3.0,8.0,.375,,,,3.0,8.0,.375,.375,0.7,0.7,1.000,1.3,1.7,3.0,2.0,0.7,0.0,,1.7,6.7,1975
Bill Bridges,PF,35,GSW,14,,10.6,0.7,1.6,.435,,,,0.7,1.6,.435,.435,0.1,0.5,.286,0.9,2.6,3.5,0.5,0.6,0.3,,1.6,1.6,1975
Fred Brown,SG,26,SEA,8,,30.0,8.6,17.4,.496,,,,8.6,17.4,.496,.496,3.4,4.0,.844,1.5,3.0,4.5,2.9,2.1,0.1,,2.4,20.6,1975
Tom Burleson,C,22,SEA,9,,40.4,8.7,16.9,.513,,,,8.7,16.9,.513,.513,3.3,4.4,.750,3.3,7.3,10.7,1.4,0.8,2.0,,3.2,20.7,1975
Don Chaney,SG,28,BOS,11,,26.7,4.4,9.5,.457,,,,4.4,9.5,.457,.457,2.1,2.6,.793,2.2,1.3,3.5,1.9,1.9,0.5,,4.2,10.8,1975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975
